id,workspace_id,user_id,twitter_id,text,source,retweet,geo,longitude,latitude,place_type,place_name,place_country_code,place_country,favorite_count,retweet_count,sentiment,possibly_sensitive,lang,posted_at,updated_at,created_at
14081,4,13,840066942987718656,¡Fiesta en la bolsa de valores!: ocho años de mercado alcista https://t.co/YMam2Q5HIa,TweetDeck,false,false,,,,,,,34,32,,false,es,2017-03-10 05:09:01 +0000,2017-03-11 13:43:22 +0000,2017-03-11 13:43:22 +0000
13965,4,13,840423983262683136,.@jimmymoralesgt: El sistema de protección a la niñez debe enfrentar una reforma importantehttps://t.co/ghXk2jbWQe @soyfdelrincon,TweetDeck,false,false,,,,,,,46,28,,false,es,2017-03-11 04:47:46 +0000,2017-03-11 13:43:21 +0000,2017-03-11 13:43:21 +0000
10980,4,13,834217279449624576,12 órdenes ejecutivas ha firmado Donald Trump desde que tomó juramentohttps://t.co/8T4rCy6Jp0 @CNNDUSA,TweetDeck,false,false,,,,,,,31,28,,false,es,2017-02-22 01:44:33 +0000,2017-02-22 05:07:51 +0000,2017-02-22 05:07:51 +0000
10978,4,13,834199954201657344,Asamblea Nacional de Venezuela aprueba acuerdo en rechazo a censura a medios https://t.co/wyB4j5tteq,TweetDeck,false,false,,,,,,,102,96,,false,es,2017-02-22 00:35:42 +0000,2017-02-22 05:07:51 +0000,2017-02-22 05:07:51 +0000
10977,4,13,834212332834324481,"CNE de Ecuador: ""No es posible un cambio de tendencia"" https://t.co/Ef4PG4zy8X",TweetDeck,false,false,,,,,,,140,212,,false,es,2017-02-22 01:24:53 +0000,2017-02-22 05:07:51 +0000,2017-02-22 05:07:51 +0000
10973,4,13,834217489466810369,Inmigración: de la idea a la acciónhttps://t.co/eDBT3Eq7Og @CNNDUSA,TweetDeck,false,false,,,,,,,24,27,,false,es,2017-02-22 01:45:23 +0000,2017-02-22 05:07:51 +0000,2017-02-22 05:07:51 +0000
11377,4,13,832706412073590784,Aprende a proteger tu celular de agentes de inmigración si viajas a Estados Unidos https://t.co/648yQJxxbd,TweetDeck,false,false,,,,,,,152,156,,false,es,2017-02-17 21:40:54 +0000,2017-02-22 05:07:54 +0000,2017-02-22 05:07:54 +0000
11094,4,13,833830258201735168,"Si estás en Venezuela, mira #PanoramaMundial con @patriciajaniot en vivo aquí: https://t.co/BRvNAcx3aB https://t.co/MKYjW8OONe",TweetDeck,false,false,,,,,,,155,167,,false,es,2017-02-21 00:06:40 +0000,2017-02-22 05:07:52 +0000,2017-02-22 05:07:52 +0000
10981,4,13,834198006618550273,📺 @JuanPabloPozoB: No es un proceso nuevo; en la parte final se hace más lento. No es mala organización | @patriciajaniot #JaniotPregunta,TweetDeck,false,false,,,,,,,28,33,,false,es,2017-02-22 00:27:58 +0000,2017-02-22 05:07:51 +0000,2017-02-22 05:07:51 +0000
10979,4,13,834201872894480389,Colombia: asesinato de líderes sociales aumentó 27% en el 2016 https://t.co/OgaNs0Nzvq,TweetDeck,false,false,,,,,,,35,67,,false,es,2017-02-22 00:43:19 +0000,2017-02-22 05:07:51 +0000,2017-02-22 05:07:51 +0000
10983,4,13,834196195060887552,📺 @JuanPabloPozoB: Falta un pequeño porcentaje de escrutinio; lo daremos con responsabilidad | @patriciajaniot #JaniotPregunta,TweetDeck,false,false,,,,,,,28,36,,false,es,2017-02-22 00:20:46 +0000,2017-02-22 05:07:51 +0000,2017-02-22 05:07:51 +0000
10982,4,13,834196746230173696,📺 @JuanPabloPozoB: No podemos dar resultados en base a presiones | @patriciajaniot #JaniotPregunta,TweetDeck,false,false,,,,,,,25,39,,false,es,2017-02-22 00:22:57 +0000,2017-02-22 05:07:51 +0000,2017-02-22 05:07:51 +0000
11420,4,13,832567783183495168,La polémica entre la venta de armas y la salud mental en EE.UU.https://t.co/8tsVlwIMDI @gustavocnn,TweetDeck,false,false,,,,,,,43,62,,false,es,2017-02-17 12:30:02 +0000,2017-02-22 05:07:54 +0000,2017-02-22 05:07:54 +0000
13967,4,13,840434359932989440,Presentan proyecto para que 'call centers' tercerizados en otros países vuelvan a EE.UU. https://t.co/wd1TeCiauG,TweetDeck,false,false,,,,,,,43,52,,false,es,2017-03-11 05:29:00 +0000,2017-03-11 13:43:21 +0000,2017-03-11 13:43:21 +0000
10986,4,13,834196262224293888,📺 @JuanPabloPozoB: Entre hoy y mañana se conocerán los resultados finales | @patriciajaniot #JaniotPregunta,TweetDeck,false,false,,,,,,,37,61,,false,es,2017-02-22 00:21:02 +0000,2017-02-22 05:07:51 +0000,2017-02-22 05:07:51 +0000
10984,4,13,834195591248826368,📺  @JuanPabloPozoB: Nuevo sistema de escrutinio ha sido un éxito | @patriciajaniot #JaniotPregunta,TweetDeck,false,false,,,,,,,19,32,,false,es,2017-02-22 00:18:22 +0000,2017-02-22 05:07:51 +0000,2017-02-22 05:07:51 +0000
13966,4,13,840430588515430400,¿@Ibra_official a la MLS? https://t.co/BRYSxvJoX8 https://t.co/FSgRQgZ83S,TweetDeck,false,false,,,,,,,39,19,,false,en,2017-03-11 05:14:01 +0000,2017-03-11 13:43:21 +0000,2017-03-11 13:43:21 +0000
10985,4,13,834195887404482560,📺 @JuanPabloPozoB: En Ecuador no había ese tipo de respuesta en escrutinio; ahora estamos en segunda fase | @patriciajaniot #JaniotPregunta,TweetDeck,false,false,,,,,,,29,35,,false,es,2017-02-22 00:19:32 +0000,2017-02-22 05:07:51 +0000,2017-02-22 05:07:51 +0000
13969,4,13,840419086471438336,La imagen del día: una cascada congelada de 30 metros de altura en Chinahttps://t.co/iRD1m0lScn,TweetDeck,false,false,,,,,,,140,73,,false,es,2017-03-11 04:28:19 +0000,2017-03-11 13:43:21 +0000,2017-03-11 13:43:21 +0000
10988,4,13,834184945371320320,El presidente de este país prohibiría la pizza hawaiana https://t.co/2lvssAMiLX https://t.co/3dyuWIc9es,TweetDeck,false,false,,,,,,,126,96,,false,es,2017-02-21 23:36:04 +0000,2017-02-22 05:07:51 +0000,2017-02-22 05:07:51 +0000
10987,4,13,834186235992223744,"Para ti, la pizza hawaiana es ___________ https://t.co/2lvssAMiLX",TweetDeck,false,false,,,,,,,75,42,,false,es,2017-02-21 23:41:11 +0000,2017-02-22 05:07:51 +0000,2017-02-22 05:07:51 +0000
